city,measure,price,category
Seattle,Mid-range Restaurant Meal for 2,100,Dining Out
Seattle,McMeal at McDonalds,12.5,Dining Out
Seattle,Regular Cappuccino,6.2,Dining Out
Seattle,Milk (1 gallon),4.76,Grocery
Seattle,Eggs (12),4.8,Grocery
Seattle,Local Cheese (1 lb),6.33,Meat & Cheese
Seattle,Chicken Fillets (1 lb),7.2,Meat & Cheese
Seattle,Beef Round (1 lb),9.43,Meat & Cheese
Seattle,Mid-Range Wine,15,Alcohol & Cigarette
Seattle,Domestic Beer (0.5 L),3.01,Alcohol & Cigarette
Seattle,Imported Beer (12 oz),3.78,Alcohol & Cigarette
Seattle,Marlboro (20 Pack),12,Alcohol & Cigarette
Seattle,Monthly Transit Pass,99,Monthly Cost
Seattle,Gasoline (13.2 gallons),65.74,Monthly Cost
Seattle,Volkswagen Golf 1.4,36656.56,Own Property
Seattle,Toyota Corolla Sedan,26661.54,Own Property
Seattle,Internet (60 Mbps or More),71.54,Monthly Cost
Seattle,Monthly Gym Fee (1 Adult),63.56,Monthly Cost
Seattle,Levis 501 Jeans,68.48,Clothing
Seattle,Summer Dress in a Chain Store,60.26,Clothing
Seattle,Nike Running Shoes,101.85,Clothing
Seattle,Men Leather Business Shoes,143.05,Clothing
Seattle,1B Apt in City Centre,2500.68,Rent
Seattle,1B Apt Outside of Centre,1995,Rent
Seattle,3B Apt in City Centre,4688,Rent
Seattle,3B Apt in Outside of Centre,3567.31,Rent
Seattle,750 sq ft Apt in City Centre,725902.5,Own Property
Seattle,750 sq ft Apt Outside of Centre,452002.5,Own Property
Miami,Inexpensive Restaurant Meal,25,Dining Out
Miami,Mid-range Restaurant Meal for 2,100,Dining Out
Miami,McMeal at McDonalds,12,Dining Out
Miami,Regular Cappuccino,4.89,Dining Out
Miami,Milk (1 gallon),4.33,Grocery
Miami,Eggs (12),4.09,Grocery
Miami,Local Cheese (1 lb),6.07,Meat & Cheese
Miami,Chicken Fillets (1 lb),5.3,Meat & Cheese
Miami,Beef Round (1 lb),7.25,Meat & Cheese
Miami,Mid-Range Wine,13,Alcohol & Cigarette
Miami,Domestic Beer (0.5 L),2.03,Alcohol & Cigarette
Miami,Imported Beer (12 oz),2.53,Alcohol & Cigarette
Miami,Marlboro (20 Pack),9.45,Alcohol & Cigarette
Miami,Monthly Transit Pass,113.75,Monthly Cost
Miami,Gasoline (13.2 gallons),46.07,Monthly Cost
Miami,Volkswagen Golf 1.4,35000,Own Property
Miami,Toyota Corolla Sedan,24955.19,Own Property
Miami,Internet (60 Mbps or More),62.46,Monthly Cost
Miami,Monthly Gym Fee (1 Adult),75.53,Monthly Cost
Miami,Levis 501 Jeans,48.29,Clothing
Miami,Summer Dress in a Chain Store,51,Clothing
Miami,Nike Running Shoes,80.75,Clothing
Miami,Men Leather Business Shoes,98.33,Clothing
Miami,1B Apt in City Centre,2773.75,Rent
Miami,1B Apt Outside of Centre,2113.76,Rent
Miami,3B Apt in City Centre,5358.34,Rent
Miami,3B Apt in Outside of Centre,3765.09,Rent
Miami,750 sq ft Apt in City Centre,443535,Own Property
Miami,750 sq ft Apt Outside of Centre,272700,Own Property
San Jose,Inexpensive Restaurant Meal,20,Dining Out
San Jose,Mid-range Restaurant Meal for 2,100,Dining Out
San Jose,McMeal at McDonalds,12,Dining Out
